id_notificacion_sistema,titulo,modulo,tipo_error,mensaje,detalles,fecha_creacion,resuelto,fecha_resolucion,id_usuario_resolvio
99,[INFO] Evento de sistema,CARTERA_SCHEDULER,INFO,Proceso automático completado en 529ms,[object Object],2026-04-02 17:00:00,1,,
100,[INFO] Evento de sistema,CARTERA_SCHEDULER,INFO,Proceso automático completado en 539ms,[object Object],2026-04-02 18:00:00,1,,
101,[INFO] Evento de sistema,CARTERA_SCHEDULER,INFO,Proceso automático completado en 615ms,[object Object],2026-04-02 19:00:00,1,,
102,[INFO] Evento de sistema,CARTERA_SCHEDULER,INFO,Proceso automático completado en 521ms,[object Object],2026-04-02 20:00:00,1,,
103,[INFO] Evento de sistema,CARTERA_SCHEDULER,INFO,Proceso automático completado en 516ms,[object Object],2026-04-02 21:00:00,1,,
104,[INFO] Evento de sistema,CARTERA_SCHEDULER,INFO,Proceso automático completado en 571ms,[object Object],2026-04-02 22:00:00,1,,
105,[INFO] Evento de sistema,CARTERA_SCHEDULER,INFO,Proceso automático completado en 460ms,[object Object],2026-04-02 23:00:00,1,,
106,[INFO] Evento de sistema,CARTERA_SCHEDULER,INFO,Proceso automático completado en 569ms,[object Object],2026-04-03 00:00:00,1,,
107,[INFO] Evento de sistema,CARTERA_SCHEDULER,INFO,Proceso automático completado en 771ms,[object Object],2026-04-03 01:00:00,1,,
108,[INFO] Evento de sistema,CARTERA_SCHEDULER,INFO,Proceso automático completado en 522ms,[object Object],2026-04-03 15:00:00,1,,
109,[INFO] Evento de sistema,CARTERA_SCHEDULER,INFO,Proceso automático completado en 436ms,[object Object],2026-04-03 16:00:00,1,,
110,[INFO] Evento de sistema,CARTERA_SCHEDULER,INFO,Proceso automático completado en 470ms,[object Object],2026-04-03 17:00:00,1,,
111,[INFO] Evento de sistema,CARTERA_SCHEDULER,INFO,Proceso automático completado en 477ms,[object Object],2026-04-03 18:00:00,1,,
112,[INFO] Evento de sistema,CARTERA_SCHEDULER,INFO,Proceso automático completado en 462ms,[object Object],2026-04-03 19:00:00,1,,
113,[INFO] Evento de sistema,CARTERA_SCHEDULER,INFO,Proceso automático completado en 585ms,[object Object],2026-04-03 20:00:00,1,,
114,[INFO] Evento de sistema,CARTERA_SCHEDULER,INFO,Proceso automático completado en 551ms,[object Object],2026-04-03 21:00:00,1,,
115,[INFO] Evento de sistema,CARTERA_SCHEDULER,INFO,Proceso automático completado en 528ms,[object Object],2026-04-03 22:00:00,1,,
116,[INFO] Evento de sistema,CARTERA_SCHEDULER,INFO,Proceso automático completado en 603ms,[object Object],2026-04-03 23:00:01,1,,
117,[INFO] Evento de sistema,CARTERA_SCHEDULER,INFO,Proceso automático completado en 504ms,[object Object],2026-04-04 00:00:00,1,,
118,[INFO] Evento de sistema,CARTERA_SCHEDULER,INFO,Proceso automático completado en 572ms,[object Object],2026-04-04 01:00:00,1,,
119,[INFO] Evento de sistema,CARTERA_SCHEDULER,INFO,Proceso automático completado en 592ms,[object Object],2026-04-04 15:00:00,1,,
120,[INFO] Evento de sistema,CARTERA_SCHEDULER,INFO,Proceso automático completado en 537ms,[object Object],2026-04-04 16:00:00,1,,
121,[INFO] Evento de sistema,CARTERA_SCHEDULER,INFO,Proceso automático completado en 485ms,[object Object],2026-04-04 17:00:00,1,,
122,[INFO] Evento de sistema,CARTERA_SCHEDULER,INFO,Proceso automático completado en 580ms,[object Object],2026-04-04 18:00:00,1,,
123,[INFO] Evento de sistema,CARTERA_SCHEDULER,INFO,Proceso automático completado en 534ms,[object Object],2026-04-04 19:00:00,1,,
124,[INFO] Evento de sistema,CARTERA_SCHEDULER,INFO,Proceso automático completado en 774ms,[object Object],2026-04-04 20:00:00,1,,
125,[INFO] Evento de sistema,CARTERA_SCHEDULER,INFO,Proceso automático completado en 597ms,[object Object],2026-04-04 21:00:00,1,,
126,[INFO] Evento de sistema,CARTERA_SCHEDULER,INFO,Proceso automático completado en 643ms,[object Object],2026-04-04 22:00:00,1,,
127,[INFO] Evento de sistema,CARTERA_SCHEDULER,INFO,Proceso automático completado en 679ms,[object Object],2026-04-04 23:00:00,1,,
128,[INFO] Evento de sistema,CARTERA_SCHEDULER,INFO,Proceso automático completado en 534ms,[object Object],2026-04-05 00:00:00,1,,
129,[INFO] Evento de sistema,CARTERA_SCHEDULER,INFO,Proceso automático completado en 902ms,[object Object],2026-04-05 01:00:00,1,,
130,[INFO] Evento de sistema,CARTERA_SCHEDULER,INFO,Proceso automático completado en 706ms,[object Object],2026-04-05 15:00:01,1,,
131,[INFO] Evento de sistema,CARTERA_SCHEDULER,INFO,Proceso automático completado en 534ms,[object Object],2026-04-05 16:00:00,1,,
132,[INFO] Evento de sistema,CARTERA_SCHEDULER,INFO,Proceso automático completado en 544ms,[object Object],2026-04-05 17:00:00,1,,
133,[INFO] Evento de sistema,CARTERA_SCHEDULER,INFO,Proceso automático completado en 525ms,[object Object],2026-04-05 18:00:00,1,,
134,[INFO] Evento de sistema,CARTERA_SCHEDULER,INFO,Proceso automático completado en 798ms,[object Object],2026-04-05 19:00:01,1,,
135,[INFO] Evento de sistema,CARTERA_SCHEDULER,INFO,Proceso automático completado en 696ms,[object Object],2026-04-05 20:00:00,1,,
136,[INFO] Evento de sistema,CARTERA_SCHEDULER,INFO,Proceso automático completado en 549ms,[object Object],2026-04-05 21:00:00,1,,
137,[INFO] Evento de sistema,CARTERA_SCHEDULER,INFO,Proceso automático completado en 701ms,[object Object],2026-04-05 22:00:00,1,,
138,[INFO] Evento de sistema,CARTERA_SCHEDULER,INFO,Proceso automático completado en 477ms,[object Object],2026-04-05 23:00:00,1,,
139,[INFO] Evento de sistema,CARTERA_SCHEDULER,INFO,Proceso automático completado en 788ms,[object Object],2026-04-06 00:00:01,1,,
140,[INFO] Evento de sistema,CARTERA_SCHEDULER,INFO,Proceso automático completado en 829ms,[object Object],2026-04-06 01:00:00,1,,
141,[INFO] Evento de sistema,CARTERA_SCHEDULER,INFO,Proceso automático completado en 609ms,[object Object],2026-04-06 15:00:00,1,,
142,[INFO] Evento de sistema,CARTERA_SCHEDULER,INFO,Proceso automático completado en 515ms,[object Object],2026-04-06 16:00:01,1,,
