id_alerta_procedida,codigo_alerta,severidad,mensaje,detalle,contexto,id_movimiento,id_ahorro,id_cliente,id_prestamo,id_usuario,fecha_evento,fecha_movimiento_referencia,ip_origen
240,LOAN_NOT_RELEASED,warning,El préstamo #1438 aún no está en ventana de renovación para retiro de garantía.,[object Object],confirmacion_movimiento,4428,192,11112773739,1438,111113612603105,2026-07-20 17:45:52,2026-07-15,84.17.44.227
241,LOAN_NOT_RELEASED,warning,El préstamo #2011 aún no está en ventana de renovación para retiro de garantía.,[object Object],confirmacion_movimiento,4427,190,11112924530,2011,111113612603105,2026-07-20 17:45:58,2026-07-15,84.17.44.227
242,LOAN_NOT_RELEASED,warning,El préstamo #2075 aún no está en ventana de renovación para retiro de garantía.,[object Object],confirmacion_movimiento,4425,292,11112939631,2075,111113612603105,2026-07-20 17:46:08,2026-07-15,84.17.44.227
243,LOAN_NOT_RELEASED,warning,El préstamo #1496 aún no está en ventana de renovación para retiro de garantía.,[object Object],confirmacion_movimiento,4424,199,11112902202,1496,111113612603105,2026-07-20 17:46:12,2026-07-14,84.17.44.227
244,LOAN_NOT_RELEASED,warning,El préstamo #2070 aún no está en ventana de renovación para retiro de garantía.,[object Object],confirmacion_movimiento,4418,252,11113209269,2070,111113612603105,2026-07-20 17:46:18,2026-07-15,84.17.44.227
245,LOAN_NOT_RELEASED,warning,El préstamo #2053 aún no está en ventana de renovación para retiro de garantía.,[object Object],confirmacion_movimiento,4416,20,11113232046,2053,111113612603105,2026-07-20 17:46:23,2026-07-15,84.17.44.227
246,SALIDA_SIN_PRESTAMO,warning,No se pudo vincular la salida a un préstamo vigente en la fecha indicada.,[object Object],confirmacion_movimiento,4415,10,11113008579,,111113612603105,2026-07-20 17:46:29,2026-07-15,84.17.44.227
247,SALIDA_SIN_PRESTAMO,warning,No se pudo vincular la salida a un préstamo vigente en la fecha indicada.,[object Object],confirmacion_movimiento,4412,161,11112822564,,111113612603105,2026-07-20 17:46:34,2026-07-15,84.17.44.227
248,LOAN_NOT_RELEASED,warning,El préstamo #2058 aún no está en ventana de renovación para retiro de garantía.,[object Object],confirmacion_movimiento,4410,233,11113139475,2058,111113612603105,2026-07-20 17:46:39,2026-07-15,84.17.44.227
249,SALIDA_PRESTAMO_DESALINEADO,warning,El préstamo vinculado (#1276) no coincide con el vigente en esa fecha (#2079).,[object Object],confirmacion_movimiento,4409,397,11112958035,1276,111113612603105,2026-07-20 17:46:45,2026-07-15,84.17.44.227
250,LOAN_NOT_RELEASED,warning,El préstamo #1276 aún no está en ventana de renovación para retiro de garantía.,[object Object],confirmacion_movimiento,4409,397,11112958035,1276,111113612603105,2026-07-20 17:46:45,2026-07-15,84.17.44.227
251,LOAN_NOT_RELEASED,warning,El préstamo #2018 aún no está en ventana de renovación para retiro de garantía.,[object Object],confirmacion_movimiento,4408,423,11113037690,2018,111113612603105,2026-07-20 17:46:51,2026-07-15,84.17.44.227
252,LOAN_NOT_RELEASED,warning,El préstamo #2017 aún no está en ventana de renovación para retiro de garantía.,[object Object],confirmacion_movimiento,4407,230,11112893766,2017,111113612603105,2026-07-20 17:46:57,2026-07-15,84.17.44.227
253,LOAN_NOT_RELEASED,warning,El préstamo #2093 aún no está en ventana de renovación para retiro de garantía.,[object Object],retiro_grupal,4447,288,11113264674,2093,111113612603105,2026-07-21 15:38:22,2026-07-21,84.17.44.227
254,LOAN_NOT_RELEASED,warning,El préstamo #2092 aún no está en ventana de renovación para retiro de garantía.,[object Object],retiro_grupal,4448,150,11113005497,2092,111113612603105,2026-07-21 15:38:22,2026-07-21,84.17.44.227
255,DEPOSITO_SIN_PRESTAMO,warning,El cliente no tiene un préstamo activo en la fecha del depósito.,[object Object],creacion_deposito,,424,11112894601,,111113612603105,2026-07-21 16:08:02,2026-07-21,84.17.44.229
256,LOAN_NOT_RELEASED,warning,El préstamo #1815 aún no está en ventana de renovación para retiro de garantía.,[object Object],retiro_grupal,4452,239,11113116034,1815,111113612603105,2026-07-21 16:12:12,2026-07-21,84.17.44.229
