id_detalle,id_mora_centro,id_cliente,pago_cliente,porcentaje_participacion,monto_multa_cliente,total_a_pagar_cliente,fecha_creacion
274,30,11112918295,299.90,0.2027,659.78,959.68,2026-05-01 02:00:00
275,30,11113058061,779.90,0.5271,1715.78,2495.68,2026-05-01 02:00:00
276,30,11113097725,399.90,0.2703,879.78,1279.68,2026-05-01 02:00:00
277,31,11112839233,587.90,0.1752,1293.38,1881.28,2026-05-04 02:00:00
278,31,11112903012,540.00,0.1609,1188.00,1728.00,2026-05-04 02:00:00
279,31,11112939602,360.00,0.1073,792.00,1152.00,2026-05-04 02:00:00
280,31,11112941078,180.00,0.0536,396.00,576.00,2026-05-04 02:00:00
281,31,11112984597,588.00,0.1752,1293.60,1881.60,2026-05-04 02:00:00
282,31,11113008579,360.00,0.1073,792.00,1152.00,2026-05-04 02:00:00
283,31,11113126104,240.00,0.0715,528.00,768.00,2026-05-04 02:00:00
284,31,11113202376,299.90,0.0894,659.78,959.68,2026-05-04 02:00:00
285,31,11113232046,200.00,0.0596,440.00,640.00,2026-05-04 02:00:00
292,32,11112899272,640.00,0.1796,1408.00,2048.00,2026-05-05 02:00:00
293,32,11112918184,719.90,0.2020,1583.78,2303.68,2026-05-05 02:00:00
294,32,11112919810,779.90,0.2188,1715.78,2495.68,2026-05-05 02:00:00
295,32,11112922068,416.00,0.1167,915.20,1331.20,2026-05-05 02:00:00
296,32,11112938595,420.00,0.1179,924.00,1344.00,2026-05-05 02:00:00
297,32,11112985973,587.90,0.1650,1293.38,1881.28,2026-05-05 02:00:00
309,33,11112931340,399.90,1.0000,879.78,1279.68,2026-05-06 16:54:52
316,34,11112918349,779.90,0.2458,1715.78,2495.68,2026-05-07 15:14:19
317,34,11112973962,779.90,0.2458,1715.78,2495.68,2026-05-07 15:14:19
318,34,11113117861,719.90,0.2269,1583.78,2303.68,2026-05-07 15:14:19
319,34,11113299859,893.00,0.2815,1964.60,2857.60,2026-05-07 15:14:19
323,35,11113042585,648.00,1.0000,1425.60,2073.60,2026-05-08 02:00:00
324,36,11112839233,587.90,0.1533,1293.38,1881.28,2026-05-11 02:00:00
325,36,11112903012,540.00,0.1408,1188.00,1728.00,2026-05-11 02:00:00
326,36,11112929397,300.00,0.0782,660.00,960.00,2026-05-11 02:00:00
327,36,11112939602,360.00,0.0939,792.00,1152.00,2026-05-11 02:00:00
328,36,11112984597,588.00,0.1533,1293.60,1881.60,2026-05-11 02:00:00
329,36,11113008579,360.00,0.0939,792.00,1152.00,2026-05-11 02:00:00
330,36,11113033563,360.00,0.0939,792.00,1152.00,2026-05-11 02:00:00
331,36,11113126104,240.00,0.0626,528.00,768.00,2026-05-11 02:00:00
332,36,11113202376,299.90,0.0782,659.78,959.68,2026-05-11 02:00:00
333,36,11113232046,200.00,0.0521,440.00,640.00,2026-05-11 02:00:00
339,37,11112899272,1419.90,0.3269,3123.78,4543.68,2026-05-12 02:00:00
340,37,11112918184,719.90,0.1657,1583.78,2303.68,2026-05-12 02:00:00
341,37,11112919810,779.90,0.1796,1715.78,2495.68,2026-05-12 02:00:00
342,37,11112922068,416.00,0.0958,915.20,1331.20,2026-05-12 02:00:00
343,37,11112938595,420.00,0.0967,924.00,1344.00,2026-05-12 02:00:00
344,37,11112985973,587.90,0.1353,1293.38,1881.28,2026-05-12 02:00:00
346,38,11112805333,705.60,0.3692,1552.32,2257.92,2026-05-13 02:00:00
347,38,11113057488,200.00,0.1047,440.00,640.00,2026-05-13 02:00:00
348,38,11113098291,1005.50,0.5261,2212.10,3217.60,2026-05-13 02:00:00
349,39,11112623811,480.00,0.4000,1056.00,1536.00,2026-05-14 02:00:00
350,39,11112871315,720.00,0.6000,1584.00,2304.00,2026-05-14 02:00:00
352,40,11113042585,648.00,1.0000,1425.60,2073.60,2026-05-15 02:00:00
353,41,11112839233,587.90,0.2216,1293.38,1881.28,2026-05-18 02:00:00
354,41,11112929397,300.00,0.1131,660.00,960.00,2026-05-18 02:00:00
355,41,11112939602,360.00,0.1357,792.00,1152.00,2026-05-18 02:00:00
356,41,11112996848,420.00,0.1583,924.00,1344.00,2026-05-18 02:00:00
357,41,11113033563,360.00,0.1357,792.00,1152.00,2026-05-18 02:00:00
358,41,11113125623,180.00,0.0679,396.00,576.00,2026-05-18 02:00:00
359,41,11113126158,444.90,0.1677,978.78,1423.68,2026-05-18 02:00:00
366,42,11112739578,180.00,0.3750,396.00,576.00,2026-05-19 16:55:52
367,42,11112976277,300.00,0.6250,660.00,960.00,2026-05-19 16:55:52
369,43,11112835706,705.60,0.4309,1552.32,2257.92,2026-05-20 02:00:00
370,43,11113033055,432.00,0.2638,950.40,1382.40,2026-05-20 02:00:00
371,43,11113057488,200.00,0.1221,440.00,640.00,2026-05-20 02:00:00
372,43,11113098291,299.90,0.1831,659.78,959.68,2026-05-20 02:00:00
376,44,11112918349,779.90,0.2135,1715.78,2495.68,2026-05-21 02:00:00
377,44,11112952934,480.00,0.1314,1056.00,1536.00,2026-05-21 02:00:00
378,44,11112973962,779.90,0.2135,1715.78,2495.68,2026-05-21 02:00:00
379,44,11113117861,719.90,0.1971,1583.78,2303.68,2026-05-21 02:00:00
380,44,11113299859,893.00,0.2445,1964.60,2857.60,2026-05-21 02:00:00
383,45,11113042585,648.00,1.0000,1425.60,2073.60,2026-05-22 02:00:00
384,46,11112839233,587.90,0.2564,1293.38,1881.28,2026-05-25 02:00:00
385,46,11112929397,300.00,0.1308,660.00,960.00,2026-05-25 02:00:00
386,46,11112996848,420.00,0.1832,924.00,1344.00,2026-05-25 02:00:00
387,46,11113033563,360.00,0.1570,792.00,1152.00,2026-05-25 02:00:00
388,46,11113125623,180.00,0.0785,396.00,576.00,2026-05-25 02:00:00
389,46,11113126158,444.90,0.1940,978.78,1423.68,2026-05-25 02:00:00
391,47,11112899272,779.90,0.5416,1715.78,2495.68,2026-05-26 02:00:00
392,47,11113056638,240.00,0.1667,528.00,768.00,2026-05-26 02:00:00
393,47,11113113239,420.00,0.2917,924.00,1344.00,2026-05-26 02:00:00
400,48,11112901756,420.00,0.2188,924.00,1344.00,2026-05-27 14:28:30
401,48,11112933824,300.00,0.1563,660.00,960.00,2026-05-27 14:28:30
402,48,11112973790,719.90,0.3750,1583.78,2303.68,2026-05-27 14:28:30
403,48,11113048867,480.00,0.2500,1056.00,1536.00,2026-05-27 14:28:30
407,49,11112716716,719.90,0.3636,1583.78,2303.68,2026-05-28 02:00:02
408,49,11112792952,779.90,0.3939,1715.78,2495.68,2026-05-28 02:00:02
409,49,11112952934,480.00,0.2424,1056.00,1536.00,2026-05-28 02:00:02
420,50,11112837856,540.00,0.2195,1188.00,1728.00,2026-05-29 16:15:35
421,50,11112918295,540.00,0.2195,1188.00,1728.00,2026-05-29 16:15:35
422,50,11113005465,360.00,0.1464,792.00,1152.00,2026-05-29 16:15:35
423,50,11113023238,299.90,0.1219,659.78,959.68,2026-05-29 16:15:35
424,50,11113042756,719.90,0.2927,1583.78,2303.68,2026-05-29 16:15:35
427,51,11112996848,420.00,0.3182,924.00,1344.00,2026-06-01 02:00:04
428,51,11113125623,180.00,0.1364,396.00,576.00,2026-06-01 02:00:04
429,51,11113162874,180.00,0.1364,396.00,576.00,2026-06-01 02:00:04
430,51,11113186245,240.00,0.1818,528.00,768.00,2026-06-01 02:00:04
431,51,11113189493,300.00,0.2273,660.00,960.00,2026-06-01 02:00:04
434,52,11112887079,240.00,0.1818,528.00,768.00,2026-06-02 02:00:04
435,52,11113056638,240.00,0.1818,528.00,768.00,2026-06-02 02:00:04
436,52,11113113239,420.00,0.3182,924.00,1344.00,2026-06-02 02:00:04
437,52,11113192667,420.00,0.3182,924.00,1344.00,2026-06-02 02:00:04
441,53,11112835706,705.60,0.6203,1552.32,2257.92,2026-06-03 02:00:04
442,53,11113033055,432.00,0.3797,950.40,1382.40,2026-06-03 02:00:04
454,54,11112792766,360.00,1.0000,792.00,1152.00,2026-06-04 18:36:26
455,55,11112873397,288.00,0.1333,633.60,921.60,2026-06-05 02:00:05
456,55,11112886571,504.00,0.2333,1108.80,1612.80,2026-06-05 02:00:05
457,55,11112988424,432.00,0.2000,950.40,1382.40,2026-06-05 02:00:05
458,55,11113018670,288.00,0.1333,633.60,921.60,2026-06-05 02:00:05
459,55,11113042585,648.00,0.3000,1425.60,2073.60,2026-06-05 02:00:05
462,56,11112996848,420.00,0.3182,924.00,1344.00,2026-06-08 02:00:02
463,56,11113125623,180.00,0.1364,396.00,576.00,2026-06-08 02:00:02
464,56,11113162874,180.00,0.1364,396.00,576.00,2026-06-08 02:00:02
465,56,11113186245,240.00,0.1818,528.00,768.00,2026-06-08 02:00:02
466,56,11113189493,300.00,0.2273,660.00,960.00,2026-06-08 02:00:02
469,57,11112887079,240.00,0.1818,528.00,768.00,2026-06-09 02:00:02
470,57,11113056638,240.00,0.1818,528.00,768.00,2026-06-09 02:00:02
471,57,11113113239,420.00,0.3182,924.00,1344.00,2026-06-09 02:00:02
472,57,11113192667,420.00,0.3182,924.00,1344.00,2026-06-09 02:00:02
476,58,11112835706,705.60,0.6203,1552.32,2257.92,2026-06-10 02:00:03
477,58,11113033055,432.00,0.3797,950.40,1382.40,2026-06-10 02:00:03
479,59,11112716716,719.90,0.1964,1583.78,2303.68,2026-06-11 02:00:03
480,59,11112792952,779.90,0.2128,1715.78,2495.68,2026-06-11 02:00:03
481,59,11112847319,964.90,0.2633,2122.78,3087.68,2026-06-11 02:00:03
482,59,11113102023,719.90,0.1964,1583.78,2303.68,2026-06-11 02:00:03
483,59,11113115541,480.00,0.1310,1056.00,1536.00,2026-06-11 02:00:03
510,60,11112862917,360.00,0.3871,792.00,1152.00,2026-06-12 13:41:14
511,60,11112974293,569.90,0.6129,1253.78,1823.68,2026-06-12 13:41:14
513,61,11112996848,420.00,0.1944,924.00,1344.00,2026-06-15 02:00:05
514,61,11113106411,360.00,0.1667,792.00,1152.00,2026-06-15 02:00:05
515,61,11113125623,180.00,0.0833,396.00,576.00,2026-06-15 02:00:05
516,61,11113162874,180.00,0.0833,396.00,576.00,2026-06-15 02:00:05
517,61,11113186245,240.00,0.1111,528.00,768.00,2026-06-15 02:00:05
518,61,11113189493,300.00,0.1389,660.00,960.00,2026-06-15 02:00:05
519,61,11113202376,480.00,0.2222,1056.00,1536.00,2026-06-15 02:00:05
548,62,11112863299,540.00,0.3444,1188.00,1728.00,2026-06-16 06:31:27
549,62,11112914985,240.00,0.1531,528.00,768.00,2026-06-16 06:31:27
550,62,11112998182,587.90,0.3750,1293.38,1881.28,2026-06-16 06:31:27
551,62,11113168985,200.00,0.1276,440.00,640.00,2026-06-16 06:31:27
555,63,11112835706,705.60,0.6203,1552.32,2257.92,2026-06-17 02:00:07
556,63,11113033055,432.00,0.3797,950.40,1382.40,2026-06-17 02:00:07
558,64,11112716716,719.90,0.1665,1583.78,2303.68,2026-06-18 02:00:07
559,64,11112792952,779.90,0.1803,1715.78,2495.68,2026-06-18 02:00:07
560,64,11112847319,964.90,0.2231,2122.78,3087.68,2026-06-18 02:00:07
561,64,11113053166,480.00,0.1110,1056.00,1536.00,2026-06-18 02:00:07
562,64,11113069896,180.00,0.0416,396.00,576.00,2026-06-18 02:00:07
563,64,11113102023,719.90,0.1665,1583.78,2303.68,2026-06-18 02:00:07
564,64,11113115541,480.00,0.1110,1056.00,1536.00,2026-06-18 02:00:07
565,65,11112862917,360.00,0.2449,792.00,1152.00,2026-06-19 02:00:05
566,65,11112974293,569.90,0.3877,1253.78,1823.68,2026-06-19 02:00:05
567,65,11113097725,540.00,0.3674,1188.00,1728.00,2026-06-19 02:00:05
582,66,11112839763,1022.50,0.6397,2249.50,3272.00,2026-06-22 17:09:28
583,66,11113004468,288.00,0.1802,633.60,921.60,2026-06-22 17:09:28
584,66,11113174457,288.00,0.1802,633.60,921.60,2026-06-22 17:09:28
591,67,11113046199,420.00,1.0000,924.00,1344.00,2026-06-23 14:29:05
594,68,11112931340,587.90,0.2500,1293.38,1881.28,2026-06-24 02:00:02
595,68,11112934778,587.95,0.2500,1293.49,1881.44,2026-06-24 02:00:02
596,68,11112996211,587.90,0.2500,1293.38,1881.28,2026-06-24 02:00:02
597,68,11113129537,587.90,0.2500,1293.38,1881.28,2026-06-24 02:00:02
629,69,11112801054,420.00,0.1431,924.00,1344.00,2026-06-25 16:20:31
630,69,11112882874,416.00,0.1417,915.20,1331.20,2026-06-25 16:20:31
631,69,11112956989,779.90,0.2657,1715.78,2495.68,2026-06-25 16:20:31
632,69,11112963613,719.90,0.2452,1583.78,2303.68,2026-06-25 16:20:31
633,69,11113046154,299.90,0.1022,659.78,959.68,2026-06-25 16:20:31
634,69,11113113052,299.90,0.1022,659.78,959.68,2026-06-25 16:20:31
636,70,11112862917,360.00,0.1446,792.00,1152.00,2026-06-26 02:00:09
637,70,11112972833,300.00,0.1205,660.00,960.00,2026-06-26 02:00:09
638,70,11112974293,569.90,0.2289,1253.78,1823.68,2026-06-26 02:00:09
639,70,11113023238,719.90,0.2891,1583.78,2303.68,2026-06-26 02:00:09
640,70,11113097725,540.00,0.2169,1188.00,1728.00,2026-06-26 02:00:09
673,71,11112839763,446.50,0.3652,982.30,1428.80,2026-06-29 16:37:38
674,71,11113004468,288.00,0.2356,633.60,921.60,2026-06-29 16:37:38
675,71,11113006480,200.00,0.1636,440.00,640.00,2026-06-29 16:37:38
676,71,11113174457,288.00,0.2356,633.60,921.60,2026-06-29 16:37:38
686,72,11112874979,360.00,0.6000,792.00,1152.00,2026-06-30 06:08:38
