id_archivo,url,nombre_archivo,tipo,origen,tamano_bytes,estatus,id_usuario,fecha_generacion,metadata
55,https://fooaxstorage.sfo3.digitaloceanspaces.com/Ahorros/retiro_grupal/111113612603105_20260413183652_366.pdf,Ahorros/retiro_grupal/111113612603105_20260413183652_366.pdf,RETIRO_AHORRO_GRUPAL,AHORROS,140316,Generado,111113612603105,2026-04-13 18:36:53,[object Object]
56,https://fooaxstorage.sfo3.digitaloceanspaces.com/Ahorros/retiro_grupal/111113612603105_20260413185132_455.pdf,Ahorros/retiro_grupal/111113612603105_20260413185132_455.pdf,RETIRO_AHORRO_GRUPAL,AHORROS,140397,Generado,111113612603105,2026-04-13 18:51:33,[object Object]
57,https://fooaxstorage.sfo3.digitaloceanspaces.com/Ahorros/retiro_grupal/111113612603105_20260413190907_485.pdf,Ahorros/retiro_grupal/111113612603105_20260413190907_485.pdf,RETIRO_AHORRO_GRUPAL,AHORROS,140918,Generado,111113612603105,2026-04-13 19:09:07,[object Object]
58,https://fooaxstorage.sfo3.digitaloceanspaces.com/Prestamos/pagare_grupal/111113612004634_20260414205158_167.pdf,Prestamos/pagare_grupal/111113612004634_20260414205158_167.pdf,PAGARE_GRUPAL,PRESTAMOS,70241,Generado,111113612004634,2026-04-14 20:51:58,[object Object]
59,https://fooaxstorage.sfo3.digitaloceanspaces.com/Prestamos/pagare_grupal/111113612004634_20260414213734_998.pdf,Prestamos/pagare_grupal/111113612004634_20260414213734_998.pdf,PAGARE_GRUPAL,PRESTAMOS,70231,Generado,111113612004634,2026-04-14 21:37:34,[object Object]
60,https://fooaxstorage.sfo3.digitaloceanspaces.com/Prestamos/pagare_grupal/111113612004634_20260415212403_518.pdf,Prestamos/pagare_grupal/111113612004634_20260415212403_518.pdf,PAGARE_GRUPAL,PRESTAMOS,70292,Generado,111113612004634,2026-04-15 21:24:04,[object Object]
61,https://fooaxstorage.sfo3.digitaloceanspaces.com/Prestamos/pagare_grupal/111113612004634_20260415212654_324.pdf,Prestamos/pagare_grupal/111113612004634_20260415212654_324.pdf,PAGARE_GRUPAL,PRESTAMOS,70226,Generado,111113612004634,2026-04-15 21:26:55,[object Object]
62,https://fooaxstorage.sfo3.digitaloceanspaces.com/Prestamos/pagare_grupal/111113612004634_20260415213534_386.pdf,Prestamos/pagare_grupal/111113612004634_20260415213534_386.pdf,PAGARE_GRUPAL,PRESTAMOS,70242,Generado,111113612004634,2026-04-15 21:35:35,[object Object]
63,https://fooaxstorage.sfo3.digitaloceanspaces.com/Prestamos/pagare_grupal/111113612004634_20260415214704_88.pdf,Prestamos/pagare_grupal/111113612004634_20260415214704_88.pdf,PAGARE_GRUPAL,PRESTAMOS,70231,Generado,111113612004634,2026-04-15 21:47:05,[object Object]
64,https://fooaxstorage.sfo3.digitaloceanspaces.com/Prestamos/pagare_grupal/111113612004634_20260416183108_686.pdf,Prestamos/pagare_grupal/111113612004634_20260416183108_686.pdf,PAGARE_GRUPAL,PRESTAMOS,70238,Generado,111113612004634,2026-04-16 18:31:09,[object Object]
